,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,Grand Total,Grand Total,Grand Total
,Population,Cases,Deaths,Population,Cases,Deaths,Population,Cases,Deaths,Population,Cases,Deaths,Population,Cases,Deaths,Population,Cases,Deaths
Avian          ,149,134,8,2268,999,61,764,383,10,1890,707,393,1819,980,110,6890,3203,582
Buffalo,179,156,2,607,456,7,289,235,2,2057,889,39,3473,1498,46,6605,3234,96
Carabao,,,,,,,,,,,,,5,5,0,5,5,0
Cat,17,11,0,1200,571,13,358,141,17,3929,1752,47,6928,3355,86,12432,5830,163
Cattle         ,315,159,4,20,10,0,14,7,1,,,,158,157,2,507,333,7
Chicken,32,32,0,69,60,0,113,107,0,,,,,,,214,199,0
Dog,701,391,3,1165,582,16,529,262,10,1876,1006,47,2451,1208,18,6722,3449,94
Goat           ,176,83,1,900,509,25,317,118,2,1244,594,8,1757,845,14,4394,2149,50
Horse          ,49,21,1,67,37,0,16,13,0,295,126,1,284,177,3,711,374,5
Sheep,,,,15,2,0,23,8,2,12,4,0,71,22,4,121,36,6
Swine          ,1605,842,14,4856,1995,40,1952,780,34,94,58,0,22,2,0,8529,3677,88
Wild & Exotic,,,,1,1,0,,,,1,1,0,,,,2,2,0
Grand Total,3223,1829,33,11168,5222,162,4375,2054,78,11398,5137,535,16968,8249,283,47132,22491,1091
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
